"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253","deve criar usuário com dados dinâmicos","ServeRest - API Usuários","Wed Apr 16 23:21:40 BRT 2025","passed","Wed Apr 16 23:21:40 BRT 2025","","sucesso","",""
"","2032","Deve exibir erro ao tentar cadastrar com email inválido","Cadastro de Usuário - UI","Wed Apr 16 23:21:12 BRT 2025","passed","Wed Apr 16 23:21:14 BRT 2025","","exceções","",""
"","1429","Deve exibir erro ao tentar logar com email inválido","Login","Wed Apr 16 23:21:28 BRT 2025","passed","Wed Apr 16 23:21:30 BRT 2025","","exceções","",""
"","6472","Deve criar um usuário com sucesso como usuário comum","Cadastro de Usuário - UI","Wed Apr 16 23:21:04 BRT 2025","passed","Wed Apr 16 23:21:11 BRT 2025","","sucesso","",""
"","1772","Deve exibir erro ao tentar logar com email não cadastrado","Login","Wed Apr 16 23:21:30 BRT 2025","passed","Wed Apr 16 23:21:32 BRT 2025","","exceções","",""
"","10368","Deve criar um usuário com sucesso como admin","Cadastro de Usuário - UI","Wed Apr 16 23:20:54 BRT 2025","passed","Wed Apr 16 23:21:04 BRT 2025","","sucesso","",""
"","3842","Deve realizar login com sucesso","Login","Wed Apr 16 23:21:21 BRT 2025","passed","Wed Apr 16 23:21:25 BRT 2025","","sucesso","",""
"","1628","Deve validar campo senha não preenchido","Login","Wed Apr 16 23:21:34 BRT 2025","passed","Wed Apr 16 23:21:35 BRT 2025","","exceções","",""
"","948","Deve exibir erro ao tentar logar sem preencher nenhum campo","Login","Wed Apr 16 23:21:27 BRT 2025","passed","Wed Apr 16 23:21:28 BRT 2025","","exceções","",""
"","433","deve criar e deletar um usuário com sucesso","ServeRest - API Usuários","Wed Apr 16 23:21:42 BRT 2025","passed","Wed Apr 16 23:21:43 BRT 2025","","deletar usuário por ID","",""
"","363","deve retornar e exibir o nome de todos os usuários cadastrados","ServeRest - API Usuários","Wed Apr 16 23:21:45 BRT 2025","passed","Wed Apr 16 23:21:45 BRT 2025","","Listar nomes dos usuários","",""
"","1342","Deve exibir erro ao tentar cadastrar sem preencher nenhum campo","Cadastro de Usuário - UI","Wed Apr 16 23:21:11 BRT 2025","passed","Wed Apr 16 23:21:12 BRT 2025","","exceções","",""
"","442","deve criar e buscar usuário pelo ID","ServeRest - API Usuários","Wed Apr 16 23:21:37 BRT 2025","passed","Wed Apr 16 23:21:38 BRT 2025","","buscar usuário por ID","",""
"","1966","Deve exibir erro ao tentar logar com senha incorreta","Login","Wed Apr 16 23:21:32 BRT 2025","passed","Wed Apr 16 23:21:34 BRT 2025","","exceções","",""
"","2333","Deve exibir erro ao tentar cadastrar com email já existente","Cadastro de Usuário - UI","Wed Apr 16 23:21:14 BRT 2025","passed","Wed Apr 16 23:21:17 BRT 2025","","exceções","",""
